+---------------------------+---------+------------+-----------+
| CONCAT(e.l_name,e.f_name) | s_id    | r_date     | work_time |
+---------------------------+---------+------------+-----------+
| 大門一郎                  | DA00001 | 2012-12-01 |         8 |
| 大門一郎                  | DA00001 | 2012-12-02 |        10 |
| 大門一郎                  | DA00001 | 2012-12-05 |         8 |
| 大門一郎                  | DA00001 | 2012-12-06 |         9 |
| 大門一郎                  | DA00001 | 2012-12-07 |         8 |
| 大門一郎                  | DA00001 | 2012-12-08 |         8 |
| 大門一郎                  | DA00001 | 2012-12-09 |         9 |
| 大門一郎                  | DA00001 | 2012-12-12 |         8 |
| 大門一郎                  | DA00001 | 2012-12-13 |        10 |
| 大門一郎                  | DA00001 | 2012-12-14 |         9 |
| 大門一郎                  | DA00001 | 2012-12-15 |         8 |
| 大門一郎                  | DA00001 | 2012-12-16 |         8 |
| 大門一郎                  | DA00001 | 2012-12-19 |         8 |
| 大門一郎                  | DA00001 | 2012-12-20 |         8 |
| 大門一郎                  | DA00001 | 2012-12-21 |         9 |
| 大門一郎                  | DA00001 | 2012-12-22 |         8 |
| 大門一郎                  | DA00001 | 2012-12-23 |        10 |
| 大門一郎                  | DA00001 | 2012-12-26 |         8 |
| 大門一郎                  | DA00001 | 2012-12-27 |         8 |
| 大門一郎                  | DA00001 | 2012-12-28 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-01 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-02 |        10 |
| 藤井雄太                  | FU00001 | 2012-12-05 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-06 |         9 |
| 藤井雄太                  | FU00001 | 2012-12-07 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-08 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-09 |         9 |
| 藤井雄太                  | FU00001 | 2012-12-12 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-13 |        10 |
| 藤井雄太                  | FU00001 | 2012-12-14 |         9 |
| 藤井雄太                  | FU00001 | 2012-12-15 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-16 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-19 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-20 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-21 |         9 |
| 藤井雄太                  | FU00001 | 2012-12-22 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-23 |        10 |
| 藤井雄太                  | FU00001 | 2012-12-26 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-27 |         8 |
| 藤井雄太                  | FU00001 | 2012-12-28 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-01 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-02 |        10 |
| 藤岡幸太郎                | FU00002 | 2012-12-05 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-06 |         9 |
| 藤岡幸太郎                | FU00002 | 2012-12-07 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-08 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-09 |         9 |
| 藤岡幸太郎                | FU00002 | 2012-12-12 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-13 |        10 |
| 藤岡幸太郎                | FU00002 | 2012-12-14 |         9 |
| 藤岡幸太郎                | FU00002 | 2012-12-15 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-16 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-19 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-20 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-21 |         9 |
| 藤岡幸太郎                | FU00002 | 2012-12-22 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-23 |        10 |
| 藤岡幸太郎                | FU00002 | 2012-12-26 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-27 |         8 |
| 藤岡幸太郎                | FU00002 | 2012-12-28 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-01 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-02 |        10 |
| 葉山俊輔                  | HA0002  | 2012-12-05 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-06 |         9 |
| 葉山俊輔                  | HA0002  | 2012-12-07 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-08 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-09 |         9 |
| 葉山俊輔                  | HA0002  | 2012-12-12 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-13 |        10 |
| 葉山俊輔                  | HA0002  | 2012-12-14 |         9 |
| 葉山俊輔                  | HA0002  | 2012-12-15 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-16 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-19 |         8 |
| 葉山俊輔                  | HA0002  | 2012-12-20 |         8 |
